
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount
1            1  2016-2017              Fertilizer             Total (in Tonnes)  Abbotabad       1946
2            2  2016-2017          Area Irrigated                  Canal - Govt  Abbotabad     429414
3            3  2016-2017          Area Irrigated                   Canal - Pvt  Abbotabad     257712
4            4  2016-2017          Area Irrigated                         Tanks  Abbotabad       2531
5            5  2016-2017          Area Irrigated                     Tubewells  Abbotabad      79923
6            6  2016-2017          Area Irrigated                    Left Pumps  Abbotabad      26027
7            7  2016-2017          Area Irrigated                         Wells  Abbotabad      36061
8            8  2016-2017          Area Irrigated                        Others  Abbotabad      31517
9            9  2016-2017               Tubewells                 Govt - Deisel  Abbotabad         30
10          10  2016-2017               Tubewells                  Govt - Elect  Abbotabad        595
11          11  2016-2017               Tubewells                  Pvt - Deisel  Abbotabad       4213
12          12  2016-2017               Tubewells                   Pvt - Elect  Abbotabad       9385
13          13  2016-2017     Tractors/Bulldozers               Govt - Tractors  Abbotabad        246
14          14  2016-2017     Tractors/Bulldozers              Govt - Bulldozer  Abbotabad        106
15          15  2016-2017     Tractors/Bulldozers                Pvt - Tractors  Abbotabad      21560
16          16  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer  Abbotabad       1187
17          17  2016-2017  Agricultural Machinery        Wheat Threshers - Govt  Abbotabad         80
18          18  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt  Abbotabad       6860
19          19  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt  Abbotabad          0
20          20  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt  Abbotabad        687
21          21  2016-2017  Agricultural Machinery         Maize Shellers - Govt  Abbotabad         28
22          22  2016-2017  Agricultural Machinery          Maize Shellers - Pvt  Abbotabad       2591
23          23  2016-2017  Agricultural Machinery        Wheat Harvester - Govt  Abbotabad         20
24          24  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt  Abbotabad        189
25          25  2016-2017                   Wheat            Area (in Hectares)  Abbotabad      14719
26          26  2016-2017                   Wheat        Production (in Tonnes)  Abbotabad      25858
27          27  2016-2017                   Wheat       Yield per Hectare in Kg  Abbotabad       1757
28          28  2016-2017               Sugarcane           Area  (in Hectares)  Abbotabad          0
29          29  2016-2017               Sugarcane        Production (in Tonnes)  Abbotabad          0
30          30  2016-2017               Sugarcane       Yield per Hectare in Kg  Abbotabad          0
31          31  2016-2017                    Rice            Area (in Hectares)  Abbotabad          0
32          32  2016-2017                    Rice        Production (in Tonnes)  Abbotabad          0
33          33  2016-2017                    Rice       Yield per Hectare in Kg  Abbotabad          0
34          34  2016-2017                   Maize            Area (in Hectares)  Abbotabad      14603
35          35  2016-2017                   Maize        Production (in Tonnes)  Abbotabad      22301
36          36  2016-2017                   Maize       Yield per Hectare in Kg  Abbotabad       1527
37          37  2016-2017              Fertilizer             Total (in Tonnes)      Bannu      19278
38          38  2016-2017          Area Irrigated                  Canal - Govt      Bannu       4960
